ID,Name,Longitude,Latitude,Catchment Area (km²),Measuring Organisation,Level 1 or Level 2 (Catchment Development),Level 1 or Level 2 (Data Quality),Record Length,Missing Data Criteria Met? (Yes/No),gauge_name,water_body_name,artificial_surfaces_perc,dams_num,perc_complete,data_gap,area_error,aridity,runoff_ratio,data_flag
DE110140,Tuttlingen,8.795632,47.988378,83.59,Baden-WÃ¼rttemberg,1,1,63.16,Yes,Tuttlingen,Elta,8.84,0,1.0,1 days,0.0364538127712337,0.8028578846981432,0.3887454506087268,1
DE110170,KÃ¶nigheim,9.623949,49.615623,59.36,Baden-WÃ¼rttemberg,1,1,63.16,Yes,KÃ¶nigheim,Brehmbach,2.73,0,1.0,1 days,0.003719986472776443,1.0651261040529292,0.28497358406164963,1
DE110180,Sachsenflur,9.70704,49.525241,108.53,Baden-WÃ¼rttemberg,1,1,52.16,Yes,Sachsenflur,Umpfer,2.38,0,0.9998950351632203,2 days,0.010394820826114712,1.0484813738109742,0.30829969982179745,1
DE110250,HÃ¶lzlebruck,8.191595,47.925221,47.08,Baden-WÃ¼rttemberg,1,1,70.0,Yes,HÃ¶lzlebruck,Josbach,0.08,0,1.0,1 days,0.004861551469034115,0.46819181979797664,0.6980780792802331,1
DE110260,IllmÃ¼hle,8.343761,47.749695,50.01,Baden-WÃ¼rttemberg,1,1,70.0,Yes,IllmÃ¼hle,Steina,1.68,0,0.9973795369211514,67 days,0.003189156866653452,0.6096007676808961,0.4901014036827235,1
DE110280,Wehr,7.903851,47.615191,24.22,Baden-WÃ¼rttemberg,1,1,64.16,Yes,Wehr,Hasel,5.91,0,1.0,1 days,0.02886928628708911,0.5277668029442982,0.5605216532855729,1
DE110290,Oberambringen,7.74034,47.917497,46.03,Baden-WÃ¼rttemberg,1,1,64.16,Yes,Oberambringen,MÃ¶hlin,4.49,0,1.0,1 days,0.06773370447691955,0.6211448891290734,0.2892908815183985,1
DE110300,UntermÃ¼nstertal,7.759964,47.860491,66.26,Baden-WÃ¼rttemberg,1,1,70.0,Yes,UntermÃ¼nstertal,Neumagen,2.06,0,1.0,1 days,0.0034832651824928665,0.44426139687533434,0.5570974335502827,1
DE110320,Oberwolfach,8.219191,48.305973,126.79,Baden-WÃ¼rttemberg,1,1,70.0,Yes,Oberwolfach,Wolf,0.78,0,1.0,1 days,0.003879651623119629,0.4259581213200094,0.6481989343561362,1
DE110380,Altensteig,8.609757,48.58481,135.02,Baden-WÃ¼rttemberg,0,0,38.67,Yes,Altensteig,Nagold,2.82,1,1.0,1 days,0.0,0.5386880097525334,0.46659252695974046,0
DE110410,Riederich,9.267024,48.561403,159.42,Baden-WÃ¼rttemberg,0,0,70.0,Yes,Riederich,Erms,9.99,2,1.0,1 days,0.0008161215393307519,0.7329293815428397,0.644312796422698,0
DE110500,SÃ¼Ãen,9.775238,48.68383,68.14,Baden-WÃ¼rttemberg,0,0,70.0,Yes,SÃ¼Ãen,Lauter,9.29,2,0.9998435544430538,4 days,0.03242424242424243,0.6330950167711412,0.47345219093396346,0
DE110510,Lautenhof,8.542309,48.716906,83.61,Baden-WÃ¼rttemberg,1,1,70.0,Yes,Lautenhof,GroÃe Enz,1.16,0,1.0,1 days,0.009007941211331102,0.4216125702516382,0.5504675231248105,1
DE110620,Reichenhofen,9.967069,47.847065,151.84,Baden-WÃ¼rttemberg,1,1,41.17,Yes,Reichenhofen,Wurzacher Ach,3.59,0,1.0,1 days,0.004523700255687391,0.667572443309836,0.4181784811239642,1
DE110640,Unterschmeien,9.149767,48.091691,146.57,Baden-WÃ¼rttemberg,2,2,39.16,Yes,Unterschmeien,Schmeie,13.35,0,0.9998601985181043,2 days,0.009435261707989013,0.7664865334297031,0.3558260548277238,2
DE110680,Hammereisenbach,8.35337,47.989742,164.95,Baden-WÃ¼rttemberg,0,0,40.16,Yes,Hammereisenbach,Breg,2.65,1,1.0,1 days,0.0439212708056452,0.40988510438030584,0.6141878629408138,0
DE110750,Fridingen,8.9433,48.034611,131.59,Baden-WÃ¼rttemberg,0,0,37.17,Yes,Fridingen,BÃ¤ra,6.87,1,1.0,1 days,0.0014417969342843961,0.7143014479553094,0.44743209348202695,0
DE110790,Goppertshofen,9.943128,48.086929,58.11,Baden-WÃ¼rttemberg,1,2,34.17,Yes,Goppertshofen,Rottum,6.96,0,0.9996794871794872,3 days,0.015554002097168833,0.8108102774165679,0.474848823138289,2
DE110940,Lahr,7.850372,48.33993,129.21,Baden-WÃ¼rttemberg,1,1,51.16,Yes,Lahr,Schutter,7.61,0,1.0,1 days,0.0014683153013910178,0.7370989251838943,0.329201418461447,1
